text
"</s>[INST] this question about the business function reached rto and here the some example questions associated with business function reached rto, i need the business function reached rto details, give me the business function reached rto, can you give me operational function reached rto, how many business function reached rto is available, get the configured operational reached rto functions list, provide me a details for business functions reached rto, show me the details of operational function that are achieved rto [/INST] "intent": "Business Function Reached RTO" </s>"
"</s>[INST] this intent about the last dr drill and here the some example questions associated with the last dr drill, can you give me a previous dr drill details, get the last dr drill list, how many drill done in last drill, can you give me drill list for last year, what the data available for yesterday dr drill, i need the last dr drill, how many drill are happened in last month and last week  [/INST] "intent": "Last DR Drill" </s>"
"</s>[INST] this question about the dr drill summary and here the some example questions associated with the dr drill summary, can you get the dr drill summary report, what is dr drill completed details for last weeks, give me  completed drill list, how many drill are completed, i want the dr drill completed list for last month, provide the last year completed drills [/INST] "intent": "DR Drill Summary" </s>"
"</s>[INST] this intent about the frequently failed servers and the intent associated with frequently fail server,servers are getting error during the drill activity, frequent falling server, How many servers fail often? [/INST] "intent": "Frequent Failed Server" </s>"
"</s>[INST] this intent about Frequent RPO Deviation and the intent associated with frequent rpo deviation, frequent rpo deviation list, rpo deviation [/INST] "intent": "Frequent RPO Deviation" </s>"
"</s>[INST] this question about the business service reached rpo and here the some example questions associated with business service reached rpo, can you give me the list of  business service reached rpo, get the operational service reached rpo, how many business service reached rpo are there, give me the configured business service reached rpo, how many operational service reached rpo are there [/INST] "intent": "Business Service Reached RPO" </s>"
"</s>[INST] this intent about the server list and the intent associated with server, can you give me a servers list, is there any server available right noe, how many servers are available now, get me a server details, i need server list, how many server are there, get the configured server details, give me the server details, How many servers have been configured within the workflow?, Can you provide me with an updated list of all our servers [/INST] "intent": "Server List" </s>"
"</s>[INST] this intent about the active server list and the intent associated with active server, can you give me list of active servers, what are the servers are active now, could you provide the running server, i need up server details, provide the all active server currently available now, can you give me the list of up server, can you give me the list of online server, get the online servers [/INST] "intent": "Active Server List" </s>"
"</s>[INST] this question about the inactive server and here the some example questions associated with down server, get the down server list, how many servers are inactive right now, can you tell me not functioning server, give me the not working server list, how many servers are down now, How many serves are down at the moment? [/INST] "intent": "InActive Server" </s>"
"</s>[INST] this question about the pending servers and here the some example questions associated with pending server, how many pending server are there, get the in progress servers, can you give me impending server, i need the pending server list, is there is any server pending now [/INST] "intent": "Pending Server" </s>"
"</s>[INST] this intent about the database list and the intent associated with database, how many db do you have, can you get the db, database list, all configured database list, configured database, database list, database list in workflow how many database are there [/INST] "intent": "Database List" </s>"
